X,Y,FID,GEODB_OID,GEODB_SUBT,OBJECTID,ASSETID,OWNER,MAINTRESP,LOCATIONID,IMAGEPATH,BIKEPARKTY,NUMSPACES,NUMUNITS,BPLEVEL,BPSTYLE,FINISH,MOUNTING,COVERED,BPFUND,ROTATION
-122.681578160574148,45.530016582752474,2134,2317,BPRackST,2317,5220-0002755,PDXTRANS,PDXTRANS,BF29836, ,5220,0,0, ,STAPLE, , , , ,0
-122.689327413157301,45.533465076754084,2135,2516,BPRackST,2516,5220-0004080,PDXTRANS,PDXTRANS,BF30715, ,5220,1,0, ,STAPLE, , ,N,N,0
-122.684444058122565,45.509252307984461,2136,2018,BPRackST,2018,5220-0001910,PDXTRANS,PDXTRANS,BF62469, ,5220,0,0, ,STAPLE, , , , ,65
-122.674471742084975,45.518791848528672,2137,2219,BPRackST,2219,5220-0002916,PDXTRANS,PDXTRANS,BF58280, ,5220,0,0, ,STAPLE, , ,N, ,0
-122.684259104672336,45.528769985509371,2138,2819,BPRackST,2819,5220-0003145,PDXTRANS,PDXTRANS,BF27366, ,5220,2,0, ,STAPLE, , ,N,N,180
-122.676641140596828,45.527007965392698,2139,2717,BPRackST,2717,5220-0003045,PDXTRANS,PDXTRANS,BF28228, ,5220,2,0, ,STNLES, , , , ,0
-122.611215398969179,45.512092854682315,2140,2618,BPRackST,2618,5220-0001054,PDXTRANS,UNKNOWN,BF46317, ,5220,0,0, ,STAPLE, , ,U, ,0
-122.675005459007878,45.519010931207063,2141,2117,BPRackST,2117,5220-0000808,PDXTRANS,UNKNOWN,BF56173, ,5220,0,0, ,STAPLE, , ,U, ,155
-122.68268723027289,45.530139116526009,2142,2318,BPRackST,2318,5220-0000599,PDXTRANS,PDXTRANS,BF29860, ,5220,0,0, ,STAPLE, , ,U, ,0
-122.687167239035745,45.535606931757144,2143,2517,BPRackST,2517,5220-0004081,PDXTRANS,PDXTRANS,BF31320, ,5220,2,0, ,STAPLE, , ,N,N,0
-122.684356564827254,45.509228889155196,2144,2019,BPRackST,2019,5220-0001909,PDXTRANS,PDXTRANS,BF62469, ,5220,0,0, ,STAPLE, , , , ,65
-122.693385038977922,45.467990409935695,2145,2220,BPRackST,2220,5220-0002918,PDXTRANS,PDXTRANS,BF58655, ,5220,0,0, ,STAPLE, , ,N, ,0
-122.684314371554265,45.528746905537865,2146,2820,BPRackST,2820,5220-0003146,PDXTRANS,PDXTRANS,BF27366, ,5220,2,0, ,STAPLE, , ,N,N,180
-122.675015288291036,45.518993019058414,2147,2118,BPRackST,2118,5220-0000809,PDXTRANS,UNKNOWN,BF56173, ,5220,0,0, ,STAPLE, , ,U, ,155
-122.681638933999722,45.525164386630742,2148,2718,BPRackST,2718,5220-0003046,PDXTRANS,PDXTRANS,BF29040, ,5220,0,0, ,STAPLE, , , , ,0
-122.627563803420898,45.512124834616749,2149,2619,BPRackST,2619,5220-0000936,PDXTRANS,UNKNOWN,BF46303, ,5220,0,0, ,STAPLE, , ,U, ,0
-122.682722889547478,45.530001558839679,2150,2319,BPRackST,2319,5220-0000600,PDXTRANS,PDXTRANS,BF29837, ,5220,0,0, ,STAPLE, , ,U, ,0
-122.684272705568773,45.509206467934412,2151,2020,BPRackST,2020,5220-0001908,PDXTRANS,PDXTRANS,BF62469, ,5220,0,0, ,STAPLE, , , , ,65
-122.687035745938957,45.535609434039031,2152,2518,BPRackST,2518,5220-0004082,PDXTRANS,PDXTRANS,BF31320, ,5220,2,0, ,STAPLE, , ,N,N,0
-122.675179441631897,45.519132893374092,2153,2119,BPRackST,2119,5220-0000810,PDXTRANS,UNKNOWN,BF56204, ,5220,0,0, ,STAPLE, , ,U, ,155
-122.682325726593149,45.526425677604955,2154,2221,BPRackST,2221,5220-0002919,PDXTRANS,PDXTRANS,BF27292, ,5220,0,0, ,STAPLE, , ,N, ,270
-122.684302838411611,45.528746971774915,2155,2821,BPRackST,2821,5220-0003147,PDXTRANS,PDXTRANS,BF27366, ,5220,2,0, ,STAPLE, , ,N,N,180
-122.681270462191009,45.525295672083324,2156,2719,BPRackST,2719,5220-0003047,PDXTRANS,PDXTRANS,BF27197, ,5220,0,0, ,STAPLE, , , , ,180
-122.627433153938469,45.511977220406301,2157,2620,BPRackST,2620,5220-0000488,PDXTRANS,UNKNOWN,BF46370, ,5220,0,0, ,STAPLE, , ,U, ,0
-122.684448504206443,45.509894830360054,2158,2021,BPRackST,2021,5220-0001973,PDXTRANS,PDXTRANS,BF60024, ,5220,0,0, ,STAPLE, , , , ,65
-122.68405357804896,45.529998795639628,2159,2320,BPRackST,2320,5220-0000610,PDXTRANS,PDXTRANS,BF29838, ,5220,0,0, ,ART, , ,U, ,0
-122.684291757905157,45.528747488354597,2160,2822,BPRackST,2822,5220-0003148,PDXTRANS,PDXTRANS,BF27366, ,5220,2,0, ,STAPLE, , ,N,N,180
-122.67484428975331,45.519305706826913,2161,2120,BPRackST,2120,5220-0000448,PDXTRANS,UNKNOWN,BF56173, ,5220,0,0, ,STAPLE, , ,U, ,0
-122.677010205243775,45.520123443310609,2162,2621,BPRackST,2621,5220-0002952,PDXTRANS,PDXTRANS,BF66961, ,5220,2,0, ,STAPLE, , , , ,160
-122.680128729299128,45.521068687013283,2163,2222,BPRackST,2222,5220-0002920,PDXTRANS,PDXTRANS,BF66982, ,5220,0,0, ,STAPLE, , ,N, ,322
